condition_name,n_people,prevalence_pct,mean_codes_per_affected
Leukopenia,144,1.9,4.6
Tear of meniscus of knee,144,1.9,3.6
Hematuria co-occurrent and due to acute cystitis,143,1.9,2.2
Disorder due to type 2 diabetes mellitus,143,1.9,9.9
Abscess of skin and/or subcutaneous tissue,143,1.9,2.2
Abdominal mass,143,1.9,3.1
Flushing,143,1.9,3.5
Breast signs and symptoms,143,1.9,3.6
Upper abdominal pain,143,1.9,2.9
Hyperparathyroidism,142,1.8,14.5
Secondary cataract,142,1.8,6.3
Pelvic mass,142,1.8,3.1
Impingement syndrome of shoulder region,142,1.8,4.9
Hammer toe,141,1.8,7.8
Spondylosis without myelopathy,141,1.8,3.1
Pulmonary hypertension,141,1.8,7.5
Bleeding,141,1.8,2.6
Acute conjunctivitis,140,1.8,1.8
Mass of trunk,140,1.8,3.5
Preinfarction syndrome,140,1.8,4.1
Dizziness,139,1.8,2.6
Suspected fetal abnormality affecting management of mother,139,1.8,5.3
Systolic heart failure,139,1.8,12.2
Injury of shoulder and upper arm,138,1.8,2.2
Neoplastic disease,138,1.8,3.1
Benign neoplasm of descending colon,138,1.8,2.0
Benign neoplasm of soft tissue,138,1.8,3.8
Cellulitis of right lower limb,137,1.8,3.7
Bunion,136,1.8,5.5
Injury of lower leg,136,1.8,2.3
"Complication of pregnancy, childbirth and/or puerperium",136,1.8,3.0
Derangement of knee,136,1.8,3.7
Disorder of back,135,1.7,2.5
"Tricuspid incompetence, non-rheumatic",135,1.7,2.3
Mass of left breast,135,1.7,2.8
Benign neoplastic disease,135,1.7,5.4
Dystrophia unguium,135,1.7,4.0
Acute pain,135,1.7,2.2
Spasm of back muscles,135,1.7,3.1
"Gestation period, 32 weeks",135,1.7,2.2
Neck sprain,135,1.7,2.1
"Primary gonarthrosis, bilateral",135,1.7,6.5
Enthesopathy of hip region,134,1.7,4.4
Abnormal body temperature,134,1.7,2.3
Embolism from thrombosis of vein of lower extremity,134,1.7,10.8
Neurological symptom,134,1.7,4.5
Opioid dependence,134,1.7,19.8
Oropharyngeal dysphagia,133,1.7,4.8
Lumbar sprain,133,1.7,2.6
"Gestation period, 34 weeks",133,1.7,2.2
Mild recurrent major depression,133,1.7,10.5
Ectasia of thoracic aorta,133,1.7,8.7
Disorder of joint of ankle and/or foot,132,1.7,2.7
Atrial flutter,132,1.7,10.7
Disorder of carotid artery,132,1.7,7.7
Ureteric stone,132,1.7,8.3
Blepharitis of left eyelid,132,1.7,3.2
"Gestation period, 11 weeks",131,1.7,1.8
Female infertility,131,1.7,22.6
Anemia of chronic disease,131,1.7,4.4
Peripheral nerve disease,131,1.7,6.0
Bacterial enteritis of intestine,131,1.7,4.1
"Maternal obesity complicating pregnancy, childbirth and the puerperium, antepartum",131,1.7,9.4
Chronic phototoxic dermatitis,130,1.7,2.7
Diastolic heart failure,130,1.7,10.3
Cystitis,130,1.7,2.4
Diplopia,130,1.7,5.5
Autoimmune thyroiditis,129,1.7,15.1
Shoulder pain,129,1.7,5.3
Thoracic spondylosis without myelopathy,129,1.7,2.7
External hemorrhoids,129,1.7,2.5
Type 1 diabetes mellitus without complication,129,1.7,16.4
Infectious disease,129,1.7,3.0
Multiple joint pain,129,1.7,3.0
