gene	series	occurrence_bin	n_alleles	alleles_per_k
ALL_CLASSICAL	noncoding_only	65-128	33	0.515625
ALL_CLASSICAL	noncoding_only	129-256	25	0.1953125
ALL_CLASSICAL	noncoding_only	257-512	21	0.08203125
ALL_CLASSICAL	noncoding_only	513-1024	13	0.025390625
ALL_CLASSICAL	noncoding_only	>1024	2	0.001953125
ALL_CLASSICAL	flagged_artifact	1	4040	4040.0
ALL_CLASSICAL	flagged_artifact	2	176	176.0
ALL_CLASSICAL	flagged_artifact	3-4	53	26.5
ALL_CLASSICAL	flagged_artifact	5-8	21	5.25
ALL_CLASSICAL	flagged_artifact	9-16	6	0.75
ALL_CLASSICAL	flagged_artifact	17-32	1	0.0625
ALL_CLASSICAL	flagged_artifact	33-64	1	0.03125
ALL_CLASSICAL	flagged_artifact	65-128	0	0.0
ALL_CLASSICAL	flagged_artifact	129-256	0	0.0
ALL_CLASSICAL	flagged_artifact	257-512	0	0.0
ALL_CLASSICAL	flagged_artifact	513-1024	0	0.0
ALL_CLASSICAL	flagged_artifact	>1024	0	0.0
