gene	resolution	design	target_ancestry	total_n	size_used	coverage	note
HLA-DPB1	protein	greedy_max_mean_coverage	GLOBAL_MEAN	22159	22159	1.0000000000000004	
HLA-DPB2	protein	actual_aou_composition	AFR	21	<20	1.0	
HLA-DPB2	protein	actual_aou_composition	EAS	21	<20	1.0	
HLA-DPB2	protein	actual_aou_composition	EUR	21	<20	1.0	
HLA-DPB2	protein	actual_aou_composition	MID	21	<20	1.0	
HLA-DPB2	protein	actual_aou_composition	SAS	21	<20	1.0	
HLA-DPB2	protein	actual_aou_composition	UNASSIGNED	21	<20	0.9999999999999999	
HLA-DPB2	protein	actual_aou_composition	GLOBAL_MEAN	21	21	0.9999999999999998	
HLA-DPB2	protein	equal_allocation	AFR	21	<20	0.9199999999999999	
HLA-DPB2	protein	equal_allocation	EAS	21	<20	1.0	
HLA-DPB2	protein	equal_allocation	EUR	21	<20	1.0	
HLA-DPB2	protein	equal_allocation	MID	21	<20	1.0	
HLA-DPB2	protein	equal_allocation	SAS	21	<20	1.0	
HLA-DPB2	protein	equal_allocation	UNASSIGNED	21	<20	0.836734693877551	
HLA-DPB2	protein	equal_allocation	GLOBAL_MEAN	21	<20	0.9265306122448979	
HLA-DPB2	protein	94pct_eur_ukb_like	AFR	21	<20	0.9199999999999999	
HLA-DPB2	protein	94pct_eur_ukb_like	EAS	21	<20	1.0	
HLA-DPB2	protein	94pct_eur_ukb_like	EUR	21	<20	1.0	
HLA-DPB2	protein	94pct_eur_ukb_like	MID	21	<20	1.0	
HLA-DPB2	protein	94pct_eur_ukb_like	SAS	21	<20	1.0	
HLA-DPB2	protein	94pct_eur_ukb_like	UNASSIGNED	21	<20	0.836734693877551	
HLA-DPB2	protein	94pct_eur_ukb_like	GLOBAL_MEAN	21	<20	0.9265306122448979	
HLA-DPB2	protein	greedy_max_mean_coverage	AFR	21	<20	1.0	
HLA-DPB2	protein	greedy_max_mean_coverage	EAS	21	<20	1.0	
HLA-DPB2	protein	greedy_max_mean_coverage	EUR	21	<20	1.0	
HLA-DPB2	protein	greedy_max_mean_coverage	MID	21	<20	1.0	
HLA-DPB2	protein	greedy_max_mean_coverage	SAS	21	<20	1.0	
HLA-DPB2	protein	greedy_max_mean_coverage	UNASSIGNED	21	<20	0.9999999999999999	
HLA-DPB2	protein	greedy_max_mean_coverage	GLOBAL_MEAN	21	21	0.9999999999999998	
HLA-DQA1	protein	actual_aou_composition	AFR	22442	4363	1.0000000000000002	
HLA-DQA1	protein	actual_aou_composition	AMR	22442	3019	0.9999999999999999	
HLA-DQA1	protein	actual_aou_composition	EAS	22442	2427	1.0000000000000002	
HLA-DQA1	protein	actual_aou_composition	EUR	22442	2440	0.9999999999999998	
HLA-DQA1	protein	actual_aou_composition	MID	22442	580	0.9999999999999997	
HLA-DQA1	protein	actual_aou_composition	SAS	22442	2214	1.0	
HLA-DQA1	protein	actual_aou_composition	UNASSIGNED	22442	7399	0.9999999999999999	
HLA-DQA1	protein	actual_aou_composition	GLOBAL_MEAN	22442	22442	1.0	
HLA-DQA1	protein	equal_allocation	AFR	22442	3206	0.999299201039141	
HLA-DQA1	protein	equal_allocation	AMR	22442	3019	0.9999999999999999	
HLA-DQA1	protein	equal_allocation	EAS	22442	2427	1.0000000000000002	
HLA-DQA1	protein	equal_allocation	EUR	22442	2440	0.9999999999999998	
HLA-DQA1	protein	equal_allocation	MID	22442	580	0.9999999999999997	
HLA-DQA1	protein	equal_allocation	SAS	22442	2214	1.0	
HLA-DQA1	protein	equal_allocation	UNASSIGNED	22442	3206	0.9987541249522162	
HLA-DQA1	protein	equal_allocation	GLOBAL_MEAN	22442	17092	0.9994529981577052	
HLA-DQA1	protein	94pct_eur_ukb_like	AFR	22442	3333	0.999379276141484	
HLA-DQA1	protein	94pct_eur_ukb_like	AMR	22442	3019	0.9999999999999999	
HLA-DQA1	protein	94pct_eur_ukb_like	EAS	22442	2427	1.0000000000000002	
HLA-DQA1	protein	94pct_eur_ukb_like	EUR	22442	2440	0.9999999999999998	
