gene	resolution	ancestry_ref	ancestry_target	m_ref	cross_coverage	unseen_in_target	is_diagonal
HLA-DOA	protein	EUR	AFR	579.0	0.9884870354381416	0.0013541979678367566	False
HLA-DOA	protein	EUR	AMR	579.0	0.9910090657800454	0.001989170001131857	False
HLA-DOA	protein	EUR	EAS	579.0	0.9913428982345823	0.001648464727018517	False
HLA-DOA	protein	EUR	EUR	579.0	0.998501084013216	0.0	True
HLA-DOA	protein	EUR	MID	579.0	0.9905276329441861	0.005169422300661197	False
HLA-DOA	protein	EUR	SAS	579.0	0.9469175906902166	0.002255503060885622	False
HLA-DOA	protein	EUR	UNASSIGNED	579.0	0.9810041632575983	0.0012028511980758383	False
HLA-DOA	protein	MID	AFR	579.0	0.9968397291196388	0.0013541979678367566	False
HLA-DOA	protein	MID	AMR	579.0	0.9933687002652518	0.001989170001131857	False
HLA-DOA	protein	MID	EAS	579.0	0.9962901896125309	0.001648464727018517	False
HLA-DOA	protein	MID	EUR	579.0	0.9991876523151909	0.0	False
HLA-DOA	protein	MID	MID	579.0	1.0	0.005169422300661197	True
HLA-DOA	protein	MID	SAS	579.0	0.9959386281588448	0.002255503060885622	False
HLA-DOA	protein	MID	UNASSIGNED	579.0	0.9891740176423416	0.0012028511980758383	False
HLA-DOA	protein	SAS	AFR	579.0	0.9898981617742346	0.0013541979678367566	False
HLA-DOA	protein	SAS	AMR	579.0	0.9935668712169333	0.001989170001131857	False
HLA-DOA	protein	SAS	EAS	579.0	0.9966647833852013	0.001648464727018517	False
HLA-DOA	protein	SAS	EUR	579.0	0.9992214640494319	0.0	False
HLA-DOA	protein	SAS	MID	579.0	0.9944392613786316	0.005169422300661197	False
HLA-DOA	protein	SAS	SAS	579.0	0.996852511791064	0.002255503060885622	True
HLA-DOA	protein	SAS	UNASSIGNED	579.0	0.9881396803334633	0.0012028511980758383	False
HLA-DOA	protein	UNASSIGNED	AFR	579.0	0.9949898004886183	0.0013541979678367566	False
